#File	data/fastq/SRR789190_1.fastq	data/fastq/SRR789190_2.fastq
#Total	53782816
#Matched	1064118	1.97855%
#Name	Reads	ReadsPct
Reverse_adapter	442299	0.82238%
TruSeq_Adapter_Index_1_6	196443	0.36525%
TruSeq_Universal_Adapter	58328	0.10845%
PCR_Primers	52104	0.09688%
Nextera_LMP_Read2_External_Adapter	48572	0.09031%
pcr_dimer	43291	0.08049%
RNA_Adapter_(RA3)_part_#_15013207	27031	0.05026%
Nextera_LMP_Read1_External_Adapter	21099	0.03923%
PhiX_read2_adapter	18795	0.03495%
I5_Nextera_Transposase_1	18033	0.03353%
I7_Nextera_Transposase_2	16508	0.03069%
I7_Adapter_Nextera_No_Barcode	13822	0.02570%
PhiX_read1_adapter	13045	0.02425%
Stop_Oligo_(STP)_8	12407	0.02307%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N701	11106	0.02065%
RNA_Adapter_(RA5)_part_#_15013205	10645	0.01979%
I5_Nextera_Transposase_2	9356	0.01740%
I5_Adapter_Nextera	7965	0.01481%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	7078	0.01316%
TruSeq_Adapter_Index_7	6715	0.01249%
RNA_RT_Primer_(RTP)_part_#_15013981	6416	0.01193%
I7_Nextera_Transposase_1	4877	0.00907%
Bisulfite_R1	3197	0.00594%
RNA_PCR_Primer_(RP1)_part_#_15013198	3065	0.00570%
Bisulfite_R2	2914	0.00542%
TruSeq_Adapter_Index_5	1859	0.00346%
TruSeq_Adapter_Index_4	1464	0.00272%
TruSeq_Adapter_Index_19	1396	0.00260%
TruSeq_Adapter_Index_2	1161	0.00216%
TruSeq_Adapter_Index_6	561	0.00104%
RNA_PCR_Primer_Index_15_(RPI15)	524	0.00097%
RNA_PCR_Primer_Index_7_(RPI7)	270	0.00050%
TruSeq_Adapter_Index_3	110	0.00020%
RNA_PCR_Primer_Index_45_(RPI45)	96	0.00018%
RNA_PCR_Primer_Index_5_(RPI5)	58	0.00011%
RNA_PCR_Primer_Index_4_(RPI4)	57	0.00011%
RNA_PCR_Primer_Index_19_(RPI19)	54	0.00010%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]504	53	0.00010%
RNA_PCR_Primer_Index_2_(RPI2)	53	0.00010%
I7_Primer_Nextera_XT_Index_Kit_v2_N723	50	0.00009%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	46	0.00009%
I5_Primer_Nextera_XT_Index_Kit_v2_S516	45	0.00008%
TruSeq_Adapter_Index_10	45	0.00008%
RNA_PCR_Primer_Index_14_(RPI14)	42	0.00008%
RNA_PCR_Primer_Index_20_(RPI20)	42	0.00008%
RNA_PCR_Primer_Index_6_(RPI6)	39	0.00007%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N706	38	0.00007%
RNA_PCR_Primer_Index_34_(RPI34)	36	0.00007%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	33	0.00006%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N704	33	0.00006%
TruSeq_Adapter_Index_12	31	0.00006%
TruSeq_Adapter_Index_18_7	31	0.00006%
TruSeq_Adapter_Index_27	26	0.00005%
TruSeq_Adapter_Index_20	24	0.00004%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]505	23	0.00004%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]506	23	0.00004%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]517	22	0.00004%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N707	22	0.00004%
I7_Primer_Nextera_XT_Index_Kit_v2_N729	20	0.00004%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N710	20	0.00004%
RNA_PCR_Primer_Index_26_(RPI26)	20	0.00004%
TruSeq_Adapter_Index_23	20	0.00004%
TruSeq_Adapter_Index_8	20	0.00004%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N705	19	0.00004%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N708	19	0.00004%
TruSeq_Adapter_Index_16	19	0.00004%
RNA_PCR_Primer_Index_23_(RPI23)	18	0.00003%
TruSeq_Adapter_Index_14	18	0.00003%
TruSeq_Adapter_Index_9	18	0.00003%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]507	17	0.00003%
RNA_PCR_Primer_Index_24_(RPI24)	17	0.00003%
RNA_PCR_Primer_Index_27_(RPI27)	17	0.00003%
I5_Primer_Nextera_XT_Index_Kit_v2_S511	16	0.00003%
RNA_PCR_Primer_Index_35_(RPI35)	16	0.00003%
RNA_PCR_Primer_Index_43_(RPI43)	16	0.00003%
RNA_PCR_Primer_Index_25_(RPI25)	15	0.00003%
