Accession,Title,Platform,Total bases,Create date,SRA URL,SRA filename,SRA nice filename,FastQ URL,FastQ Aspera URL,FastQ filename,FastQ nice filename
SRR789190,GSM1103369: CTR rep1; Mus musculus; RNA-Seq,Illumina HiSeq 2000,54321,1.37766E+12,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR789/SRR789190/SRR789190.sra,SRR789190.sra,SRR789190_GSM1103369_CTR_rep1_Mus_musculus_RNA-Seq.sra,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR789/SRR789190/SRR789190_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR789/SRR789190/SRR789190_1.fastq.gz,SRR789190_1.fastq.gz,SRR789190_GSM1103369_CTR_rep1_Mus_musculus_RNA-Seq_1.fastq.gz
SRR789190,GSM1103369: CTR rep1; Mus musculus; RNA-Seq,Illumina HiSeq 2000,54321,1.37766E+12,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR789/SRR789190/SRR789190.sra,SRR789190.sra,SRR789190_GSM1103369_CTR_rep1_Mus_musculus_RNA-Seq.sra,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR789/SRR789190/SRR789190_2.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR789/SRR789190/SRR789190_2.fastq.gz,SRR789190_2.fastq.gz,SRR789190_GSM1103369_CTR_rep1_Mus_musculus_RNA-Seq_2.fastq.gz
SRR789194,GSM1103373: 2D rep2; Mus musculus; RNA-Seq,Illumina HiSeq 2000,57109,1.37766E+12,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR789/SRR789194/SRR789194.sra,SRR789194.sra,SRR789194_GSM1103373_2D_rep2_Mus_musculus_RNA-Seq.sra,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR789/SRR789194/SRR789194_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR789/SRR789194/SRR789194_1.fastq.gz,SRR789194_1.fastq.gz,SRR789194_GSM1103373_2D_rep2_Mus_musculus_RNA-Seq_1.fastq.gz
SRR789194,GSM1103373: 2D rep2; Mus musculus; RNA-Seq,Illumina HiSeq 2000,57109,1.37766E+12,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR789/SRR789194/SRR789194.sra,SRR789194.sra,SRR789194_GSM1103373_2D_rep2_Mus_musculus_RNA-Seq.sra,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR789/SRR789194/SRR789194_2.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR789/SRR789194/SRR789194_2.fastq.gz,SRR789194_2.fastq.gz,SRR789194_GSM1103373_2D_rep2_Mus_musculus_RNA-Seq_2.fastq.gz
SRR789191,GSM1103370: CTR rep2; Mus musculus; RNA-Seq,Illumina HiSeq 2000,62233,1.37766E+12,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR789/SRR789191/SRR789191.sra,SRR789191.sra,SRR789191_GSM1103370_CTR_rep2_Mus_musculus_RNA-Seq.sra,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR789/SRR789191/SRR789191_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR789/SRR789191/SRR789191_1.fastq.gz,SRR789191_1.fastq.gz,SRR789191_GSM1103370_CTR_rep2_Mus_musculus_RNA-Seq_1.fastq.gz
SRR789191,GSM1103370: CTR rep2; Mus musculus; RNA-Seq,Illumina HiSeq 2000,62233,1.37766E+12,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR789/SRR789191/SRR789191.sra,SRR789191.sra,SRR789191_GSM1103370_CTR_rep2_Mus_musculus_RNA-Seq.sra,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR789/SRR789191/SRR789191_2.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR789/SRR789191/SRR789191_2.fastq.gz,SRR789191_2.fastq.gz,SRR789191_GSM1103370_CTR_rep2_Mus_musculus_RNA-Seq_2.fastq.gz
SRR789198,GSM1103377: 7D rep3; Mus musculus; RNA-Seq,Illumina HiSeq 2000,62595,1.37766E+12,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR789/SRR789198/SRR789198.sra,SRR789198.sra,SRR789198_GSM1103377_7D_rep3_Mus_musculus_RNA-Seq.sra,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR789/SRR789198/SRR789198_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR789/SRR789198/SRR789198_1.fastq.gz,SRR789198_1.fastq.gz,SRR789198_GSM1103377_7D_rep3_Mus_musculus_RNA-Seq_1.fastq.gz
SRR789198,GSM1103377: 7D rep3; Mus musculus; RNA-Seq,Illumina HiSeq 2000,62595,1.37766E+12,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR789/SRR789198/SRR789198.sra,SRR789198.sra,SRR789198_GSM1103377_7D_rep3_Mus_musculus_RNA-Seq.sra,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR789/SRR789198/SRR789198_2.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR789/SRR789198/SRR789198_2.fastq.gz,SRR789198_2.fastq.gz,SRR789198_GSM1103377_7D_rep3_Mus_musculus_RNA-Seq_2.fastq.gz
SRR922121,GSM1174307: 7D rep2; Mus musculus; RNA-Seq,Illumina HiSeq 2000,82920,1.37766E+12,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR922/SRR922121/SRR922121.sra,SRR922121.sra,SRR922121_GSM1174307_7D_rep2_Mus_musculus_RNA-Seq.sra,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/SRR922121/SRR922121_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR922/SRR922121/SRR922121_1.fastq.gz,SRR922121_1.fastq.gz,SRR922121_GSM1174307_7D_rep2_Mus_musculus_RNA-Seq_1.fastq.gz
SRR922121,GSM1174307: 7D rep2; Mus musculus; RNA-Seq,Illumina HiSeq 2000,82920,1.37766E+12,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR922/SRR922121/SRR922121.sra,SRR922121.sra,SRR922121_GSM1174307_7D_rep2_Mus_musculus_RNA-Seq.sra,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR922/SRR922121/SRR922121_2.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR922/SRR922121/SRR922121_2.fastq.gz,SRR922121_2.fastq.gz,SRR922121_GSM1174307_7D_rep2_Mus_musculus_RNA-Seq_2.fastq.gz
SRR789195,GSM1103374: 2D rep3; Mus musculus; RNA-Seq,Illumina HiSeq 2000,58832,1.37766E+12,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR789/SRR789195/SRR789195.sra,SRR789195.sra,SRR789195_GSM1103374_2D_rep3_Mus_musculus_RNA-Seq.sra,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR789/SRR789195/SRR789195_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR789/SRR789195/SRR789195_1.fastq.gz,SRR789195_1.fastq.gz,SRR789195_GSM1103374_2D_rep3_Mus_musculus_RNA-Seq_1.fastq.gz
SRR789195,GSM1103374: 2D rep3; Mus musculus; RNA-Seq,Illumina HiSeq 2000,58832,1.37766E+12,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR789/SRR789195/SRR789195.sra,SRR789195.sra,SRR789195_GSM1103374_2D_rep3_Mus_musculus_RNA-Seq.sra,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR789/SRR789195/SRR789195_2.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR789/SRR789195/SRR789195_2.fastq.gz,SRR789195_2.fastq.gz,SRR789195_GSM1103374_2D_rep3_Mus_musculus_RNA-Seq_2.fastq.gz
